,Year,variable,value
653,1999,Neonatal_disorders,12097957.0
654,2000,Neonatal_disorders,11935028.0
655,2001,Neonatal_disorders,11747472.0
656,2002,Neonatal_disorders,11562695.0
657,2003,Neonatal_disorders,11419492.0
658,2004,Neonatal_disorders,11225689.0
659,2005,Neonatal_disorders,11032828.0
660,2006,Neonatal_disorders,10817790.0
661,2007,Neonatal_disorders,10594679.0
662,2008,Neonatal_disorders,10389259.0
663,2009,Neonatal_disorders,10187384.0
664,2010,Neonatal_disorders,9976877.0
665,2011,Neonatal_disorders,9759672.0
666,2012,Neonatal_disorders,9533771.0
667,2013,Neonatal_disorders,9272300.0
668,2014,Neonatal_disorders,9008440.0
669,2015,Neonatal_disorders,8729382.0
670,2016,Neonatal_disorders,8412323.0
671,2017,Neonatal_disorders,8109311.0
672,1990,Alcohol_use,548876.0
673,1991,Alcohol_use,581650.0
674,1992,Alcohol_use,640981.0
675,1993,Alcohol_use,730625.0
676,1994,Alcohol_use,797722.0
677,1995,Alcohol_use,804341.0
678,1996,Alcohol_use,780692.0
679,1997,Alcohol_use,757748.0
680,1998,Alcohol_use,757445.0
681,1999,Alcohol_use,792694.0
682,2000,Alcohol_use,827064.0
683,2001,Alcohol_use,850399.0
684,2002,Alcohol_use,878864.0
685,2003,Alcohol_use,901781.0
686,2004,Alcohol_use,911032.0
687,2005,Alcohol_use,935178.0
688,2006,Alcohol_use,899726.0
689,2007,Alcohol_use,878973.0
690,2008,Alcohol_use,877345.0
691,2009,Alcohol_use,851592.0
692,2010,Alcohol_use,846536.0
693,2011,Alcohol_use,828089.0
694,2012,Alcohol_use,823357.0
695,2013,Alcohol_use,827728.0
696,2014,Alcohol_use,840488.0
697,2015,Alcohol_use,863025.0
698,2016,Alcohol_use,878089.0
699,2017,Alcohol_use,893356.0
700,1990,Exposure_to_forces,207980.0
701,1991,Exposure_to_forces,605611.0
702,1992,Exposure_to_forces,53136.0
703,1993,Exposure_to_forces,91534.0
704,1994,Exposure_to_forces,53861.0
705,1995,Exposure_to_forces,97646.0
706,1996,Exposure_to_forces,65410.0
707,1997,Exposure_to_forces,80073.0
708,1998,Exposure_to_forces,204243.0
709,1999,Exposure_to_forces,317655.0
710,2000,Exposure_to_forces,37430.0
711,2001,Exposure_to_forces,123237.0
712,2002,Exposure_to_forces,39178.0
713,2003,Exposure_to_forces,145785.0
714,2004,Exposure_to_forces,1168885.0
715,2005,Exposure_to_forces,355311.0
716,2006,Exposure_to_forces,81175.0
717,2007,Exposure_to_forces,68293.0
718,2008,Exposure_to_forces,1171539.0
719,2009,Exposure_to_forces,43819.0
720,2010,Exposure_to_forces,1221360.0
721,2011,Exposure_to_forces,157478.0
722,2012,Exposure_to_forces,30915.0
